book_id,author,auth_book_ID
146,Claude Jacques,198
147,Colleen Manassa Darnell,199
148,David Chaim Smith,200
149,Seth C. Rasmussen,201
151,Wolfgang Reinhard,202
152,13th Century Me Wernher Der Gartenre,203
152,Clair Hayden Bell,204
152,Hartmann von Aue,205
153,Moshe Idel,206
153,Mortimer Ostow,207
153,Ivan G. Marcus,208
154,Jean-Charles-Léonard Simonde de Sismondi,209
155,Richard Bonney,210
156,Peter Adamson,211
156,Fedor Benevich,212
157,James Walsh,213
158,Vasily Yan,214
158,Vasilli G. Yan,215
158,L. Britton,216
159,Frank J. Schmalleger,217
160,Barbara W. Tuchman,218
161,William Rosen,219
162,Barbara W. Tuchman,220
162,Nadia May,221
163,G.A. Henty,222
164,Roger Chartier,223
165,Mary G. Houston,224
166,Amir Khusrau,225
166,Habibuddin Ahmed,226
167,Laurie Schneider Adams,227
168,Barbara W. Tuchman,228
169,Brian R. Price,229
170,Shiwu Qinggong,230
170,Stonehouse,231
170,Red Pine,232
171,Carthusian Monks of the 14th-17th Centuries,233
172,Edward A. Allworth,234
173,David Nicolle,235
174,Stephen Biesty,236
175,Claire d'Harcourt,237
176,Anonymous,238
177,Samuel Astley Dunham,239
178,Richard E. Zeikowitz,240
179,Esther Benbassa,241
179,Aron Rodrigue,242
180,Odorico da Pordenone,243
181,Anonymous,244
181,Ira Progoff,245
182,James Snyder,246
183,BookRags.com,247
184,André Wink,248
185,Wen C. Fong,249
186,John Mandeville,250
187,Irina L. Kyzlasova,251
187,Sergei Volynets,252
188,Morris Rossabi,253
189,Steven Muhlberger,254
190,Catherine Darby,255
191,David Tuffley,256
192,Thierry Gosset,257
193,David Goudsward,258
193,Robert E. Stone,259
194,Ross E. Dunn,260
195,SNYDER/JAMES,261
196,Ian V. Hogg,262
197,Felicitas Opwis,263
198,Francis G. Gentry,264
199,David G. Marr,265
199,A.C. Milner,266
199,Wang Gungwu,267
200,Fernand Braudel,268
201,Abraham von Worms,269
201,S.L. MacGregor Mathers,270
202,Fernand Braudel,271
203,Fernand Braudel,272
