name,details_link,authors,avg_rating,count_ratings,editions_count,genre,reviews,price,price_type,pages_count,year_first_published,book_id
Painting and Experience in 15th Century Italy: a Primer in the Social History of Pictorial Style,https://www.goodreads.com/book/show/1047021.Painting_and_Experience_in_15th_Century_Italy?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=17,['Michael Baxandall'],3.96,921,29,15th-century,,,,,,216
The Medieval Soldier: 15th Century Campaign Life Recreated in Colour Photographs,https://www.goodreads.com/book/show/2633359-the-medieval-soldier?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=18,"['Gerry Embleton', 'John  Howe']",4.53,19,1,15th-century,,,,,,217
Songs of Kabir: A 15th Century Sufi Literary Classic,https://www.goodreads.com/book/show/19205304-songs-of-kabir?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=19,"['Kabir Kabir', 'Kabir']",4.29,14,1,15th-century,,,,,,218
"Al-Hind, Volume 3 Indo-Islamic Society, 14th- 15th Centuries",https://www.goodreads.com/book/show/2059460.Al_Hind_Volume_3_Indo_Islamic_Society_14th_15th_Centuries?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=20,['André Wink'],3.5,2,3,15th-century,,,,,,219
Capitalism and Arithmetic: The New Math of the 15th Century- Including the Full Text of the Treviso Arithmetic of 1478,https://www.goodreads.com/book/show/1569006.Capitalism_and_Arithmetic?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=21,['Frank J. Swetz'],3.33,6,3,15th-century,,,,,,220
"The Barbary Pirates 15th-17th Centuries (Elite, 213)",https://www.goodreads.com/book/show/26072998-the-barbary-pirates-15th-17th-centuries?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=22,"['Angus Konstam', 'Gerry Embleton']",4.19,16,5,15th-century,,,,,,221
"Renaissance Portraits: European Portrait Painting in the 14th, 15th and 16th Centuries",https://www.goodreads.com/book/show/1156385.Renaissance_Portraits?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=23,['Lorne Campbell'],3.5,8,1,15th-century,,,,,,222
"The Marian Exiles: A Study in the Origins of Elizabethan Puritanism (Cambridge Library Collection - British and Irish History, 15th & 16th Centuries)",https://www.goodreads.com/book/show/11095223-the-marian-exiles?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=24,['Christina Hallowell Garrett'],4.43,7,5,15th-century,,,,,,223
Renaissance: Art and Architecture in Europe During the 15th & 16th Centuries,https://www.goodreads.com/book/show/26187756-renaissance?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=25,['Irving Stone'],4.08,137,221,15th-century,,,,,,224
Tak V Bowes Departed: A 15th Century Braiding Manual Examined,https://www.goodreads.com/book/show/1013737.Tak_V_Bowes_Departed?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=26,"['Elizabeth Benns', 'Gina Barrett']",4.6,5,2,15th-century,,,,,,225
Full-Color Sourcebook of French Fashion: 15th to 19th Centuries,https://www.goodreads.com/book/show/1853947.Full_Color_Sourcebook_of_French_Fashion?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=27,['Pauquet Freres'],4.1,10,3,15th-century,,,,,,226
City of Secrets: A thrilling page turner of medieval mystery and intrigue in 15th century Gloucester,https://www.goodreads.com/book/show/23378893-city-of-secrets?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=28,['Christine  Jordan'],4.0,23,4,15th-century,,,,,,227
Renaissance: Art and Architecture in Europe during the 15th and 16th Century,https://www.goodreads.com/book/show/18397677-renaissance?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=29,"['Barbara Borngässer', 'Rolf Toman']",4.45,20,4,15th-century,,,,,,228
Arte Gladiatoria Dimicandi: 15th Century Swordsmanship of Master Fillipo Vadi,https://www.goodreads.com/book/show/401328.Arte_Gladiatoria_Dimicandi?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=30,"['Fillipo Vadi', 'Luca Porzio', 'Gregory D. Mele']",4.25,12,1,15th-century,,,,,,229
"A Green Place, A Good Place: Agrarian Change and Social Identity in the Great Lakes Region to the 15th Century",https://www.goodreads.com/book/show/1885569.A_Green_Place_A_Good_Place?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=31,['David Lee Schoenbrun'],3.67,12,5,15th-century,,,,,,230
15th Century Paintings,https://www.goodreads.com/book/show/28754248-15th-century-paintings?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=32,['Rose-Marie Hagen'],3.71,24,5,15th-century,,,,,,231
"The Unbroken Chain: Biographical Sketches and Genealogy of Illustrious Jewish Families from the 15th-20th Century, Volume 1 & 2",https://www.goodreads.com/book/show/1503658.The_Unbroken_Chain?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=33,['Neil Rosenstein'],4.8,5,4,15th-century,,,,,,232
"England and Iberia in the Middle Ages, 12th-15th Century: Cultural, Literary, and Political Exchanges",https://www.goodreads.com/book/show/1071261.England_and_Iberia_in_the_Middle_Ages_12th_15th_Century?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=34,['Marìa Bullòn-Fernandez'],3.0,2,5,15th-century,,,,,,233
Pirates: Culture and Style from the 15th Century to the Present,https://www.goodreads.com/book/show/31153614-pirates?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=35,['Matteo Guarnaccia'],3.0,3,1,15th-century,,,,,,234
"Medieval Wrestling, Modern Practice of a 15th Century Art",https://www.goodreads.com/book/show/27883965-medieval-wrestling-modern-practice-of-a-15th-century-art?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=36,['Jessica Finley'],4.5,8,4,15th-century,,,,,,235
"Aims, Methods and Contexts of Qur'anic Exegesis (2nd/8th-9th/15th Centuries) (Qur'anic Studies Series)",https://www.goodreads.com/book/show/17118970-aims-methods-and-contexts-of-qur-anic-exegesis-2nd-8th-9th-15th-centur?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=37,['Karen  Bauer'],4.5,2,4,15th-century,,,,,,236
"The Discovery of the Sea: An Illustrated History of Men, Ships and the Sea in the 15th and 16th Centuries",https://www.goodreads.com/book/show/1977028.The_Discovery_of_the_Sea?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=38,['John H. Parry'],3.27,11,8,15th-century,,,,,,237
Kashmir's Transition To Islam: The Role of Muslim Rishis (15th to 18th Centuries),https://www.goodreads.com/book/show/534354.Kashmir_s_Transition_To_Islam?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=39,['M. Ishaq Khan'],3.5,4,3,15th-century,,,,,,238
Timurid Art and Culture: Iran and Central Asia in the 15th Century (MUQARNAS SUPPLEMENT),https://www.goodreads.com/book/show/4356899-timurid-art-and-culture?from_search=true&from_srp=true&qid=WWR16XtN9L&rank=40,"['Lisa Golombek', 'Maria E. Subtelny']",3.5,4,2,15th-century,,,,,,239
The Good News We Almost Forgot: Rediscovering the Gospel in a 16th Century Catechism,https://www.goodreads.com/book/show/7350845-the-good-news-we-almost-forgot?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=1,['Kevin DeYoung'],4.23,922,14,16th-century,,,,,,240
Modern World-System I: Capitalist Agriculture and the Origins of European World-Economy in the 16th Century,https://www.goodreads.com/book/show/54922.Modern_World_System_I?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=2,['Immanuel Wallerstein'],4.18,405,30,16th-century,,,,,,241
The Gondola Maker: A Novel of 16th-Century Venice,https://www.goodreads.com/book/show/22464544-the-gondola-maker?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=3,['Laura Morelli'],3.95,623,10,16th-century,,,,,,242
Margaret of Austria: Governor of the Netherlands and Early 16th-Century Europe's Greatest Diplomat,https://www.goodreads.com/book/show/123035382-margaret-of-austria?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=4,"['Rozsa Gaston', 'Géza Von Habsburg', 'Susan Abernethy']",4.31,239,4,16th-century,,,,,,243
A History of India: From the 16th Century to the 20th Century,https://www.goodreads.com/book/show/403177.A_History_of_India?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=5,['Thomas George Percival Spear'],3.77,226,18,16th-century,,,,,,244
Lucia's Renaissance: A Novel of 16th-century Italy,https://www.goodreads.com/book/show/36339179-lucia-s-renaissance?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=6,['C.L.R. Peterson'],4.13,30,2,16th-century,,,,,,245
The Painter's Apprentice: A Novel of 16th-Century Venice (Venetian Artisans #1),https://www.goodreads.com/book/show/36978991-the-painter-s-apprentice?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=7,['Laura Morelli'],4.02,928,6,16th-century,,,,,,246
You Wouldn't Want to Be Sick in the 16th Century!: Diseases You'd Rather Not Catch,https://www.goodreads.com/book/show/923804.You_Wouldn_t_Want_to_Be_Sick_in_the_16th_Century_?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=8,"['Kathryn Senior', 'David Salariya', 'David Antram']",4.07,220,20,16th-century,,,,,,247
The European Witch Craze of the 16th and 17th Centuries,https://www.goodreads.com/book/show/433364.The_European_Witch_Craze_of_the_16th_and_17th_Centuries?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=9,['Hugh R. Trevor-Roper'],3.6,89,18,16th-century,,,,,,248
Orgasm and the West: A History of Pleasure from the 16th Century to the Present,https://www.goodreads.com/book/show/4072877-orgasm-and-the-west?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=10,"['Robert Muchembled', 'David Fernbach']",3.35,101,22,16th-century,,,,,,249
English Critical Texts: 16th to 20th Centuries,https://www.goodreads.com/book/show/5118045-english-critical-texts?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=11,['D.J. Enright'],4.16,38,4,16th-century,,,,,,250
"A Simple Way to Pray: Martin Luther, the 16th Century Reformer, Tells His Barber How to Empower His Prayer Life",https://www.goodreads.com/book/show/1281671.A_Simple_Way_to_Pray?from_search=true&from_srp=true&qid=TWbWuxdVMj&rank=12,"['Martin Luther', 'Archie Parrish']",4.49,723,19,16th-century,,,,,,251
