name,details_link,authors,avg_rating,count_ratings,editions_count,genre,reviews,price,price_type,pages_count,year_first_published,book_id
17th Century Tottenville History Comes Alive: Meet the People. Experience the Events.,https://www.goodreads.com/book/show/42869467-17th-century-tottenville-history-comes-alive?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=10,['Angie Mangino'],4.25,20,2,17th-century,,,,,,289
The Wolf's Sun: Intrigue in 17th Century Brittany and Paris,https://www.goodreads.com/book/show/31191567-the-wolf-s-sun?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=11,['Karen Charbonneau'],3.5,56,3,17th-century,,,,,,290
Modern South India: A History from the 17th Century to Our Times,https://www.goodreads.com/book/show/43196888-modern-south-india?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=12,['Rajmohan Gandhi'],3.68,101,2,17th-century,,,,,,291
Letters of a Portuguese Nun: Uncovering the Mystery Behind a 17th Century Forbidden Love,https://www.goodreads.com/book/show/373040.Letters_of_a_Portuguese_Nun?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=13,['Miriam Cyr'],3.3,187,12,17th-century,,,,,,292
The Birth Of The Modern Mind: The Intellectual History Of The 17th And 18th Centuries,https://www.goodreads.com/book/show/25364374-the-birth-of-the-modern-mind?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=14,['Alan Charles Kors'],4.25,168,5,17th-century,,,,,,293
The European Witch Craze of the 16th and 17th Centuries,https://www.goodreads.com/book/show/433364.The_European_Witch_Craze_of_the_16th_and_17th_Centuries?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=15,['Hugh R. Trevor-Roper'],3.6,89,18,17th-century,,,,,,294
Conciatore: The Life and Times of 17th Century Glassmaker Antonio Neri,https://www.goodreads.com/book/show/25101738-conciatore?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=16,['Paul  Engle'],4.78,9,1,17th-century,,,,,,295
Puritanism and Revolution: Studies in Interpretation of the English Revolution of the 17th Century,https://www.goodreads.com/book/show/189331.Puritanism_and_Revolution?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=17,['Christopher Hill'],3.78,63,20,17th-century,,,,,,296
The Black Friar: a captivating spy thriller series set in 17th century London (The Seeker Book 2),https://www.goodreads.com/book/show/57759030-the-black-friar?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=18,['S.G. MacLean'],4.39,654,8,17th-century,,,,,,297
Christianopolis: An Ideal of the 17th Century,https://www.goodreads.com/book/show/2536414.Christianopolis?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=19,"['Johann Valentin Andreae', 'Felix Emil Held']",2.89,28,70,17th-century,,,,,,298
Pasta for Nightingales: A 17th-Century Handbook of Bird-Care and Folklore,https://www.goodreads.com/book/show/36125235-pasta-for-nightingales?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=20,"['Giovanni Pietro Olina', 'Cassiano Dal Pozzo', 'Helen Macdonald']",3.92,50,2,17th-century,,,,,,299
The Cherokee Struggle to Maintain Identity in the 17th and 18th Centuries,https://www.goodreads.com/book/show/20484573-the-cherokee-struggle-to-maintain-identity-in-the-17th-and-18th-centurie?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=21,['William R. Reynolds Jr.'],3.88,8,3,17th-century,,,,,,300
The Midnight Midwife: A novel of 17th century family life,https://www.goodreads.com/book/show/44803325-the-midnight-midwife?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=22,['Annelisa Christensen'],4.0,58,2,17th-century,,,,,,301
Ghost Stories of 17th Century China from Po Chung-Ling's Liu Tzai Pavilion : Vol. One,https://www.goodreads.com/book/show/13491641-ghost-stories-of-17th-century-china-from-po-chung-ling-s-liu-tzai-pavili?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=23,"['Julie Lipson', 'Po Chung-Ling', 'Pu Songling']",3.4,30,4,17th-century,,,,,,302
"The Book of Gold: A 17th Century Magical Grimoire of Amulets, Charms, Prayers, Sigils and Spells Using the Biblical Psalms of King David",https://www.goodreads.com/book/show/8546628-the-book-of-gold?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=24,"['David Rankine', 'Paul Harry Barron']",4.35,60,4,17th-century,,,,,,303
"Common Bodies: Women, Touch and Power in 17th-Century England",https://www.goodreads.com/book/show/1462592.Common_Bodies?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=25,['Laura Gowing'],3.9,52,4,17th-century,,,,,,304
"The Grimoire of Arthur Gauntlet: A 17th Century London Cunning-man's Book of Charms, Conjurations and Prayers",https://www.goodreads.com/book/show/12276189-the-grimoire-of-arthur-gauntlet?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=26,['David Rankine'],4.48,29,5,17th-century,,,,,,305
"The Sea Bandits (Bold Women of the 17th Century, #2)",https://www.goodreads.com/book/show/58697843-the-sea-bandits?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=27,['Amanda  Hughes'],4.46,54,3,17th-century,,,,,,306
Erotica: 17Th-18th Century from Rembrandt to Fragonard,https://www.goodreads.com/book/show/326054.Erotica?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=28,['Gilles Néret'],3.52,25,2,17th-century,,,,,,307
Ancient Devotions to the Sacred Heart of Jesus,https://www.goodreads.com/book/show/52155187-ancient-devotions-to-the-sacred-heart-of-jesus?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=29,['Carthusian Monks of the 14th-17th Centuries'],4.6,5,1,17th-century,,,,,,308
Ghost Walls: The Story of a 17th-Century Colonial Homestead,https://www.goodreads.com/book/show/20840483-ghost-walls?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=30,['Sally M. Walker'],3.82,51,5,17th-century,,,,,,309
Wicked Women: Killers of the 17th and 18th Century,https://www.goodreads.com/book/show/16050708-wicked-women?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=31,['Sylvia Perrini'],3.28,36,1,17th-century,,,,,,310
24 Italian Songs & Arias of the 17th & 18th Centuries Book/Online Audio,https://www.goodreads.com/book/show/79305.24_Italian_Songs_Arias_of_the_17th_18th_Centuries_Book_Online_Audio?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=32,['Hal Leonard Corp.'],4.5,103,9,17th-century,,,,,,311
King Philip’s War: The History and Legacy of the 17th Century Conflict Between Puritan New England and the Native Americans,https://www.goodreads.com/book/show/30294139-king-philip-s-war?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=33,['Charles River Editors'],3.85,33,3,17th-century,,,,,,312
17th-Century Men's Dress Patterns,https://www.goodreads.com/book/show/29082623-17th-century-men-s-dress-patterns?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=34,"['Susan North', 'Jenny Tiramani', 'Melanie Braun']",4.93,14,2,17th-century,,,,,,313
How Sleep the Brave: A Novel of 17th Century Scotland,https://www.goodreads.com/book/show/3446396-how-sleep-the-brave?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=35,['J.H. Hunter'],4.37,38,6,17th-century,,,,,,314
Shoninki: The Secret Teachings of the Ninja: The 17th-Century Manual on the Art of Concealment,https://www.goodreads.com/book/show/8120803-shoninki?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=36,"['Natori Masazumi', 'Axel Mazuer']",3.9,278,23,17th-century,,,,,,315
Duellists Companion: A training manual for 17th century Italian rapier,https://www.goodreads.com/book/show/401424.Duellists_Companion?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=37,['Guy Windsor'],4.29,45,6,17th-century,,,,,,316
Life in a 17th Century Coffee Shop,https://www.goodreads.com/book/show/19447059-life-in-a-17th-century-coffee-shop?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=38,['David Brandon'],3.78,87,5,17th-century,,,,,,317
"The Renaissance and 17th Century Rationalism: Routledge History of Philosophy, Volume 4",https://www.goodreads.com/book/show/3139323-the-renaissance-and-17th-century-rationalism?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=39,['G.H.R. Parkinson'],3.77,26,15,17th-century,,,,,,318
Secret Symbols of the Rosicrucians of the 16th and 17th Centuries,https://www.goodreads.com/book/show/2197784.Secret_Symbols_of_the_Rosicrucians_of_the_16th_and_17th_Centuries?from_search=true&from_srp=true&qid=Qc6TjpSzbb&rank=40,['AMORC'],4.53,19,1,17th-century,,,,,,319
The Battle Of Piedmont And Hunter's Raid On Staunton: The 1864 Shenandoah Campaign,https://www.goodreads.com/book/show/10892164-the-battle-of-piedmont-and-hunter-s-raid-on-staunton?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=1,['Scott C. Patchan'],4.33,9,5,1864-shenandoah-campaign,,,,,,320
"Worthy of a Higher Rank: The 1864 Shenandoah Valley Campaign Journal of Colonel Joseph Thoburn, Commander, First Infantry Division, Army of West Virginia",https://www.goodreads.com/book/show/60057333-worthy-of-a-higher-rank?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=2,['Scott C. Patchan'],5.0,1,2,1864-shenandoah-campaign,,,,,,321
"""Give the enemy no rest!"" Sheridan's 1864 Shenandoah Campaign",https://www.goodreads.com/book/show/62116291-give-the-enemy-no-rest-sheridan-s-1864-shenandoah-campaign?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=3,"['Brandon H. Beck', 'John L Heatwole', 'William J. Miller']",0.0,0,1,1864-shenandoah-campaign,,,,,,322
"The 1864 Shenandoah Campaign (Civil War Regiments , Vol 7, No 2)",https://www.goodreads.com/book/show/4772770-the-1864-shenandoah-campaign?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=4,['Mark A. Snell'],0.0,0,1,1864-shenandoah-campaign,,,,,,323
Shenandoah 1864 (Campaign 274) by Mark Lardas (20-Oct-2014) Paperback,https://www.goodreads.com/book/show/139196840-shenandoah-1864-campaign-274-by-mark-lardas-20-oct-2014-paperback?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=5,['Mark Lardas'],0.0,0,2,1864-shenandoah-campaign,,,,,,324
"The Last Battle of Winchester: Phil Sheridan, Jubal Early, and the Shenandoah Valley Campaign, August 7 - September 19, 1864",https://www.goodreads.com/book/show/10892163-the-last-battle-of-winchester?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=6,['Scott C. Patchan'],4.55,38,5,1864-shenandoah-campaign,,,,,,325
The Shenandoah in Flames: The Valley Campaign of 1864,https://www.goodreads.com/book/show/952563.The_Shenandoah_in_Flames?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=7,['Thomas A. Lewis'],3.87,61,2,1864-shenandoah-campaign,,,,,,326
The Shenandoah Valley Campaign of 1864,https://www.goodreads.com/book/show/459803.The_Shenandoah_Valley_Campaign_of_1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=8,['Gary W. Gallagher'],3.95,22,6,1864-shenandoah-campaign,,,,,,327
Shenandoah Summer: The 1864 Valley Campaign,https://www.goodreads.com/book/show/993690.Shenandoah_Summer?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=9,['Scott C. Patchan'],4.52,31,6,1864-shenandoah-campaign,,,,,,328
Bloody Autumn: The Shenandoah Valley Campaign of 1864 (Emerging Civil War Series),https://www.goodreads.com/book/show/17990812-bloody-autumn?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=10,"['Daniel T. Davis', 'Phillip S. Greenwalt']",3.84,43,4,1864-shenandoah-campaign,,,,,,329
"Valley Thunder: The Battle of New Market and the Opening of the Shenandoah Valley Campaign May, 1864",https://www.goodreads.com/book/show/10615526-valley-thunder?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=11,['Charles R.  Knight'],4.4,52,2,1864-shenandoah-campaign,,,,,,330
From Winchester to Cedar Creek: The Shenandoah Campaign of 1864,https://www.goodreads.com/book/show/19472560-from-winchester-to-cedar-creek?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=12,['Jeffry D. Wert'],4.15,88,9,1864-shenandoah-campaign,,,,,,331
Shenandoah 1864: Sheridan’s valley campaign,https://www.goodreads.com/book/show/20711304-shenandoah-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=13,"['Mark Lardas', 'Adam Hook']",3.5,10,7,1864-shenandoah-campaign,,,,,,332
Struggle for the Shenandoah: Essays on the 1864 Valley Campaign,https://www.goodreads.com/book/show/2683490-struggle-for-the-shenandoah?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=14,"['Gary W. Gallagher', 'Dennis E. Frye', 'A. Wilson Greene']",3.8,10,5,1864-shenandoah-campaign,,,,,,333
The Shenandoah Valley in 1864,https://www.goodreads.com/book/show/11805354-the-shenandoah-valley-in-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=15,['George E. Pond'],0.0,0,1,1864-shenandoah-campaign,,,,,,334
"The Boy Generals: George Custer, Wesley Merritt, and the Cavalry of the Army of the Potomac: Volume 2 - From the Gettysburg Retreat Through the Shenandoah Valley Campaign of 1864",https://www.goodreads.com/book/show/60610269-the-boy-generals?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=16,['Adolfo Ovies'],5.0,1,2,1864-shenandoah-campaign,,,,,,335
"The Shenandoah Valley Campaigns, Omnibus E-book: Includes The Shenandoah Valley Campaign of 1862 and The Shenandoah Valley Campaign of 1864",https://www.goodreads.com/book/show/20186051-the-shenandoah-valley-campaigns-omnibus-e-book?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=17,['Gary W. Gallagher'],0.0,0,1,1864-shenandoah-campaign,,,,,,336
The Shenandoah Valley Campaign: March-November 1864,https://www.goodreads.com/book/show/26011073-the-shenandoah-valley-campaign?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=18,['U.S. Department of Defense'],5.0,2,3,1864-shenandoah-campaign,,,,,,337
"Alexander Neil and the Last Shenandoah Valley Campaign: Letters of an Army Surgeon to His Family, 1864",https://www.goodreads.com/book/show/20702.Alexander_Neil_and_the_Last_Shenandoah_Valley_Campaign?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=19,"['Alexander Neil', 'Richard R. Duncan']",0.0,0,2,1864-shenandoah-campaign,,,,,,338
"The Shenandoah Valley Campaign, March-November 1864",https://www.goodreads.com/book/show/23167670-the-shenandoah-valley-campaign-march-november-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=20,"['Raymond K. Bluhm', 'U.S. Army Center of Military History']",3.0,2,1,1864-shenandoah-campaign,,,,,,339
"Sheridan's veterans. no. II. A souvenir of their third campaign in the Shenandoah valley. 1864--1883--1885. September 15-24, 1885. By F.H. Buffum. 1886 [Leather Bound]",https://www.goodreads.com/book/show/151706391-sheridan-s-veterans-no-ii-a-souvenir-of-their-third-campaign-in-the-s?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=22,['Francis H. Buffum'],0.0,0,1,1864-shenandoah-campaign,,,,,,341
"A summer campaign in the Shenandoah Valley, in 1864; ""one hundred days"" (four months and two days) of soldier life with the 152d Regiment Ohio Volunteer Infantry",https://www.goodreads.com/book/show/156525255-a-summer-campaign-in-the-shenandoah-valley-in-1864-one-hundred-days?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=23,['U. S. Government Clifton Melvin Nichols'],0.0,0,1,1864-shenandoah-campaign,,,,,,342
Campaign in the Shenandoah Valley 1864,https://www.goodreads.com/book/show/197561984-campaign-in-the-shenandoah-valley-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=24,['unknown author'],0.0,0,1,1864-shenandoah-campaign,,,,,,343
Shenandoah Valley in 1864 (Campaign of Silver War Series),https://www.goodreads.com/book/show/206379564-shenandoah-valley-in-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=25,['unknown author'],0.0,0,1,1864-shenandoah-campaign,,,,,,344
In Letters of Fire: Tried in No Common Crucible The Shenandoah Valley Campaign of 1864,https://www.goodreads.com/book/show/207653577-in-letters-of-fire?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=26,['Heidi C. Eads Jones'],0.0,0,3,1864-shenandoah-campaign,,,,,,345
The Shenandoah Vally Campaign March-November 1864 (The U.S. Army Campaigns of the Civil War) by Raymond K. Bluhm Jr. (2016-02-19),https://www.goodreads.com/book/show/157207256-the-shenandoah-vally-campaign-march-november-1864-the-u-s-army-campaig?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=27,['unknown author'],0.0,0,1,1864-shenandoah-campaign,,,,,,346
The Shenandoah Valley Campaign March-November 1864,https://www.goodreads.com/book/show/38926791-the-shenandoah-valley-campaign-march-november-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=28,['Raymond K. Bluhm Jr.'],0.0,0,1,1864-shenandoah-campaign,,,,,,347
"Sheridan's Veterans: A Souvenir of Their Two Campaigns in the Shenandoah Valley; The One, of War, in 1864, the Other, of Peace, in 1883; Being the Record of the Excursion to the Battle-Fields of the V",https://www.goodreads.com/book/show/39430461-sheridan-s-veterans?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=30,['Francis H. Buffum'],0.0,0,8,1864-shenandoah-campaign,,,,,,349
"The Shenandoah Campaigns Of 1862 And 1864 And The Appomattox Campaign, 1865 V6: Papers Of The Military Historical Society Of Massachusetts",https://www.goodreads.com/book/show/109847942-the-shenandoah-campaigns-of-1862-and-1864-and-the-appomattox-campaign-1?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=32,['Various'],0.0,0,5,1864-shenandoah-campaign,,,,,,351
"Grant's campaign in Virginia, May 1-June 30, 1864 including the operations of the Shenandoah valley and on the River James, by J. H. Anderson ... 1908 [Leather Bound]",https://www.goodreads.com/book/show/124821848-grant-s-campaign-in-virginia-may-1-june-30-1864-including-the-operatio?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=33,['John Henry Anderson'],0.0,0,1,1864-shenandoah-campaign,,,,,,352
"The Shenandoah Campaigns of 1862 and 1864 and the Appomattox Campaign 1865, Vol. 6: Note, Citations of the War Records Published After the Papers in ... Added by the Authors or Editors for the Pu",https://www.goodreads.com/book/show/37714742-the-shenandoah-campaigns-of-1862-and-1864-and-the-appomattox-campaign-18?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=34,['Military Historical Society of Massachusetts'],0.0,0,2,1864-shenandoah-campaign,,,,,,353
"The Shenandoah Campaigns of 1862 and 1864 and the Appomattox Campaign, 1865",https://www.goodreads.com/book/show/30945461-the-shenandoah-campaigns-of-1862-and-1864-and-the-appomattox-campaign-1?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=35,['Military Historical Society of Massachus'],0.0,0,3,1864-shenandoah-campaign,,,,,,354
"The Shenandoah Valley in 1864: Campaigns of the Civil War, Vol. 11",https://www.goodreads.com/book/show/11172359-the-shenandoah-valley-in-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=36,['George E. Pond'],4.67,3,31,1864-shenandoah-campaign,,,,,,355
The Shenandoah Valley In 1864 Campaigns of the Civil War - Volume XI,https://www.goodreads.com/book/show/129630872-the-shenandoah-valley-in-1864-campaigns-of-the-civil-war---volume-xi?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=37,['George E. Pond'],0.0,0,3,1864-shenandoah-campaign,,,,,,356
Shenandoah 1864: Sheridan’s valley campaign by Mark Lardas(2014-10-21),https://www.goodreads.com/book/show/171840785-shenandoah-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=38,['unknown author'],0.0,0,1,1864-shenandoah-campaign,,,,,,357
"Campaign in the Shenandoah Valley, 1864: A Paper Read Before the Eighth Vermont Volunteers and First Vermont Cavalry, at Their Annual Re-union, in Montpelier, Vermont, November 2, 1886",https://www.goodreads.com/book/show/61521318-campaign-in-the-shenandoah-valley-1864?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=39,['Herbert E Hill'],0.0,0,3,1864-shenandoah-campaign,,,,,,358
"Sheridan's Veterans, Vol. 2: A Souvenir of Their Third Campaign in the Shenandoah Valley, 1864-1883-1885; September 15-24, 1885",https://www.goodreads.com/book/show/37372039-sheridan-s-veterans-vol-2?from_search=true&from_srp=true&qid=NzexbCxd4p&rank=40,['Francis H. Buffum'],0.0,0,2,1864-shenandoah-campaign,,,,,,359
"Civilization and Capitalism 15th-18th Century, Vol. 1: The Structures of Everyday Life",https://www.goodreads.com/book/show/103431.Civilization_and_Capitalism_15th_18th_Century_Vol_1?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=1,['Fernand Braudel'],4.35,619,72,18th-century,,,,,,360
Historical Fashion in Detail: The 17th and 18th Centuries,https://www.goodreads.com/book/show/658490.Historical_Fashion_in_Detail?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=2,"['Avril Hart', 'Susan North']",4.36,733,8,18th-century,,,,,,361
"Beyond the Cliffs of Kerry (Bold Women of the 18th Century, #1)",https://www.goodreads.com/book/show/13549660-beyond-the-cliffs-of-kerry?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=3,['Amanda  Hughes'],3.99,228,3,18th-century,,,,,,362
The Political Mind: Why You Can't Understand 21st-Century American Politics with an 18th-Century Brain,https://www.goodreads.com/book/show/2482199.The_Political_Mind?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=4,['George Lakoff'],3.84,304,18,18th-century,,,,,,363
"The Pride of the King (Bold Women of the 18th Century, #2)",https://www.goodreads.com/book/show/22025662-the-pride-of-the-king?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=5,['Amanda  Hughes'],3.83,121,4,18th-century,,,,,,364
"Civilization and Capitalism 15th-18th Century, Vol 2: The Wheels of Commerce",https://www.goodreads.com/book/show/762098.Civilization_and_Capitalism_15th_18th_Century_Vol_2?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=6,['Fernand Braudel'],4.44,541,46,18th-century,,,,,,365
A Venetian Affair: A True Tale of Forbidden Love in the 18th Century,https://www.goodreads.com/book/show/391048.A_Venetian_Affair?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=7,['Andrea di Robilant'],3.46,330,30,18th-century,,,,,,366
"Civilization and Capitalism 15th-18th Century, Vol. 3: The Perspective of the World",https://www.goodreads.com/book/show/187730.Civilization_and_Capitalism_15th_18th_Century_Vol_3?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=8,"['Fernand Braudel', 'Sian Reynold']",4.43,456,35,18th-century,,,,,,367
"The American Duchess Guide to 18th Century Beauty: 40 Projects for Period-Accurate Hairstyles, Makeup and Accessories",https://www.goodreads.com/book/show/41150317-the-american-duchess-guide-to-18th-century-beauty?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=9,"['Lauren Stowell', 'Abby Cox']",4.43,182,4,18th-century,,,,,,368
Building a Bridge to the 18th Century: How the Past Can Improve Our Future,https://www.goodreads.com/book/show/79680.Building_a_Bridge_to_the_18th_Century?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=10,['Neil Postman'],3.88,584,14,18th-century,,,,,,369
Terra Incognita: A History of Ignorance in the 18th and 19th Centuries,https://www.goodreads.com/book/show/56218404-terra-incognita?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=11,"['Alain Corbin', 'Susan Pickford']",3.23,22,9,18th-century,,,,,,370
English Society in the 18th Century,https://www.goodreads.com/book/show/599272.English_Society_in_the_18th_Century?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=12,['Roy Porter'],3.79,460,16,18th-century,,,,,,371
The American Duchess Guide to 18th Century Dressmaking: How to Hand Sew Georgian Gowns and Wear Them With Style,https://www.goodreads.com/book/show/35000294-the-american-duchess-guide-to-18th-century-dressmaking?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=13,"['Lauren Stowell', 'Abby Cox']",4.55,380,4,18th-century,,,,,,372
"The Sword of the Banshee (Bold Women of the 18th Century, #3)",https://www.goodreads.com/book/show/20653068-the-sword-of-the-banshee?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=14,['Amanda  Hughes'],3.95,355,4,18th-century,,,,,,373
The Pug Who Bit Napoleon: Animal Tales of the 18th and 19th Centuries,https://www.goodreads.com/book/show/35428060-the-pug-who-bit-napoleon?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=15,['Mimi Matthews'],3.65,133,4,18th-century,,,,,,374
Scherzo: Murder and Mystery in 18th Century Venice,https://www.goodreads.com/book/show/18720229-scherzo?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=16,['Jim     Williams'],3.12,257,9,18th-century,,,,,,375
The Georgians: The Deeds and Misdeeds of 18th-Century Britain,https://www.goodreads.com/book/show/58571010-the-georgians?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=17,['Penelope J. Corfield'],3.93,81,3,18th-century,,,,,,376
The Backcountry Brides Collection: Eight 18th Century Women Seek Love on Colonial America’s Frontier,https://www.goodreads.com/book/show/36459587-the-backcountry-brides-collection?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=18,"['Shannon McNear', 'Angela K. Couch', 'Carla Gade']",4.24,135,2,18th-century,,,,,,377
"The Order of Books: Readers, Authors, and Libraries in Europe Between the 14th and 18th Centuries",https://www.goodreads.com/book/show/791999.The_Order_of_Books?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=19,['Roger Chartier'],3.67,141,16,18th-century,,,,,,378
The Recess (18th-Century Novels By Women),https://www.goodreads.com/book/show/550151.The_Recess?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=20,['Sophia Lee'],3.41,73,1,18th-century,,,,,,379
18th Century Embroidery Techniques,https://www.goodreads.com/book/show/10391.18th_Century_Embroidery_Techniques?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=21,['Gail Marsh'],4.27,136,5,18th-century,,,,,,380
"The Wreckers: A Story of Killing Seas and Plundered Shipwrecks, from the 18th-Century to the Present Day",https://www.goodreads.com/book/show/645653.The_Wreckers?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=22,['Bella Bathurst'],3.66,188,15,18th-century,,,,,,381
The Birth Of The Modern Mind: The Intellectual History Of The 17th And 18th Centuries,https://www.goodreads.com/book/show/25364374-the-birth-of-the-modern-mind?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=23,['Alan Charles Kors'],4.25,168,5,18th-century,,,,,,382
Our Life after Death: A Firsthand Account from an 18th-Century Scientist and Seer,https://www.goodreads.com/book/show/18467398-our-life-after-death?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=24,"['Emanuel Swedenborg', 'Kenneth Ring', 'Emanual Swedenborg']",3.79,48,6,18th-century,,,,,,383
"Sin and Fear: The Emergence of a Western Guilt Culture, 13th-18th Centuries",https://www.goodreads.com/book/show/1044878.Sin_and_Fear?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=25,['Jean Delumeau'],4.33,60,9,18th-century,,,,,,384
Material Lives: Women Makers and Consumer Culture in the 18th Century,https://www.goodreads.com/book/show/50279675-material-lives?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=26,['Serena Dyer'],4.3,27,4,18th-century,,,,,,385
18th Century Fashion in Detail,https://www.goodreads.com/book/show/40615336-18th-century-fashion-in-detail?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=27,['Susan North'],4.41,58,1,18th-century,,,,,,386
Perfectibilists: The 18th Century Bavarian Order of the Illuminati,https://www.goodreads.com/book/show/5341000-perfectibilists?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=28,['Terry Melanson'],4.22,59,5,18th-century,,,,,,387
How I Survived the 18th Century,https://www.goodreads.com/book/show/34019078-how-i-survived-the-18th-century?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=29,['Azie Dungey'],5.0,1,1,18th-century,,,,,,388
Daily Life in 18th-Century England (The Greenwood Press Daily Life Through History Series),https://www.goodreads.com/book/show/1817509.Daily_Life_in_18th_Century_England?from_search=true&from_srp=true&qid=ynPEHrAI7f&rank=30,['Kirstin Olsen'],4.25,44,6,18th-century,,,,,,389
